sensor_index,name,model,latitude,longitude,altitude,date_created,in_manhattan
101639,LESBreathe5,PA-II,40.713753,-73.977585,18,1616082846,1
221707,LESBreathe1test,PA-II-SD,40.72118,-73.97943,21,1713366417,1
164157,Sixth Street Community Sensor,PA-I,40.723858,-73.9801,15,1663876950,1
182081,9th Outdoor,PA-II-FLEX,40.72449,-73.977135,15,1684957789,1
101561,LESBreathe3,PA-II,40.72624,-73.976364,14,1616013781,1
204699,Broome and Broadway,PA-II-FLEX,40.72178,-73.99995,31,1701967457,1
123883,543 Broadway,PA-I,40.723476,-73.99894,39,1630096842,1
126739,Soho,PA-I,40.72485,-74.00047,29,1631227573,1
189249,Washington Square Village,PA-II-FLEX,40.728977,-73.997604,36,1689981006,1
128551,AFSE Rm512,PA-I,40.73581,-73.98742,34,1631919883,1
181651,Vilcek Hall,PA-I-LED,40.738945,-73.97794,25,1684514342,1
180219,Peanut's Doghouse,PA-II-FLEX,40.738525,-73.982864,27,1682956895,1
75131,Nyc 21,PA-I,40.7411,-73.992455,47,1601500074,1
46755,Sutton Place NY NY,PA-I,40.75822,-73.95885,-5,1579812796,1
161189,48th &amp; 8th,PA-I,40.76102,-73.987366,55,1662420450,1
29183,Hells Kitchen,PA-II,40.763924,-73.98655,72,1553019203,1
101655,Midtown-West,PA-II,40.7643,-73.98364,73,1616176126,1
182475,347 W 55,PA-I-LED,40.766525,-73.98526,85,1685555593,1
183291,Hawthorn Park,PA-I,40.772034,-73.986115,83,1686094307,1
82031,Mouse House 69,PA-I,40.775803,-73.980644,90,1602787101,1
107566,50W77F12,PA-I,40.780315,-73.975914,93,1622477847,1
103518,Riverside+75th,PA-I,40.782597,-73.98462,73,1617724957,1
114761,82nd and Bway,PA-I,40.78562,-73.97826,74,1626469398,1
130973,105 and RSD - 1,PA-I,40.801468,-73.97049,106,1632943544,1
43527,808 Columbus,PA-I,40.79454,-73.9666,101,1575995481,1
178729,happi asthma,PA-II-SD,40.78983,-73.95283,64,1681153034,1
91415,FA-O6,PA-II,40.792587,-73.947495,18,1605893042,1
188659,WE ACT Community Sensor #3,PA-II-SD,40.80789,-73.93768,22,1689714216,1
188641,WE ACT Community Sensor #7,PA-II-SD,40.808475,-73.943535,33,1689714206,1
152894,CUNY ASRC Roof,PA-II-SD,40.815487,-73.95053,124,1657141515,1
56593,sc4-050,PA-II,40.81687,-73.95785,39,1590611515,1
188657,WE ACT Community Sensor #10,PA-II-SD,40.816654,-73.94736,34,1689714215,1
140004,B vant-hull Residence,PA-I,40.821667,-73.95206,132,1638913875,1
188651,WE ACT Community Sensor #6,PA-II-SD,40.82193,-73.95565,89,1689714213,1
188695,WE ACT Community Sensor #8,PA-II-SD,40.823833,-73.953476,106,1689714368,1
188669,WE ACT Community Sensor #1,PA-II-SD,40.823437,-73.9399,32,1689714222,1
178411,WE ACT for Environmental Justice Office,PA-II-SD,40.829655,-73.94472,134,1680641494,1
188667,WE ACT Community Sensor #2,PA-II-SD,40.83612,-73.947296,62,1689714221,1
202411,Capstone,PA-I-LED,40.83786,-73.94398,144,1700060730,1
188673,WE ACT Community Sensor #9,PA-II-SD,40.847836,-73.93894,203,1689714348,1
188665,WE ACT Community Sensor #5 (WHEELS),PA-II-SD,40.849163,-73.93135,178,1689714220,1
183603,Hudson View Gardens,PA-II-FLEX,40.853676,-73.938484,257,1686169501,1
208369,The Met Cloisters Unicorn,PA-II-SD,40.86478,-73.93197,191,1703695342,1
140064,inwood,PA-I,40.87065,-73.917595,100,1638915268,1
